label,message,cleaned,tokens
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point crazy available bugis great world la buffet cine got amore wat,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'great', 'world', 'la', 'buffet', 'cine', 'got', 'amore', 'wat']"
ham,Ok lar... Joking wif u oni...,ok lar jok wif oni,"['ok', 'lar', 'jok', 'wif', 'oni']"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs app overs,"['free', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'receive', 'entry', 'questionstd', 'txt', 'ratetcs', 'app', 'overs']"
ham,U dun say so early hor... U c already then say...,dun say ear hor already say,"['dun', 'say', 'ear', 'hor', 'already', 'say']"
ham,"Nah I don't think he goes to usf, he lives around here though",nah dont think goes usf live around though,"['nah', 'dont', 'think', 'goes', 'usf', 'live', 'around', 'though']"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",freemsg hey darl weeks word back id like fun still tb ok xxx std chgs send rcv,"['freemsg', 'hey', 'darl', 'weeks', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', 'rcv']"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aids patent,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friends callertune,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', 'copy', 'friends', 'callertune']"
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valu network customer select receivea prize reward claim call claim code kl valid hours,"['winner', 'valu', 'network', 'customer', 'select', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hours']"
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile months entitl update latest colour mobile camera free call mobile update co free,"['mobile', 'months', 'entitl', 'update', 'latest', 'colour', 'mobile', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free']"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",im gonna home soon dont want talk stuff anymore tonight ive cri enough today,"['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'ive', 'cri', 'enough', 'today']"
